deriv,mode,view,pc,evr_pct,cum_evr_pct,eta2_dish,eta2_variety,eta2_germinated,eta2_germ_day,eta2_dish_within_variety,eta2_germ_day_within_variety
0,reflectance,0h,1,81.361,81.36,0.4218,0.3472,0.0445,0.0646,0.1142,0.0163
0,reflectance,0h,2,7.231,88.59,0.5751,0.3264,0.0201,0.0402,0.3693,0.0224
0,reflectance,0h,3,6.728,95.32,0.1433,0.0715,0.0024,0.0132,0.0772,0.0201
0,reflectance,0h,4,1.462,96.78,0.2018,0.0839,0.0049,0.007,0.1287,0.0093
0,reflectance,0h,5,0.956,97.74,0.2445,0.1375,0.0452,0.005,0.1241,0.0098
0,reflectance,0h,6,0.61,98.35,0.1164,0.0456,0.0002,0.0168,0.0742,0.0116
0,reflectance,8h,1,86.805,86.8,0.3882,0.2455,0.0271,0.2337,0.1891,0.1554
0,reflectance,8h,2,8.982,95.79,0.323,0.2001,0.0407,0.0046,0.1537,0.0195
0,reflectance,8h,3,2.002,97.79,0.3536,0.2579,0.0139,0.0033,0.1289,0.0335
0,reflectance,8h,4,1.084,98.87,0.3634,0.0346,0.0084,0.0319,0.3406,0.0287
0,reflectance,8h,5,0.361,99.23,0.1552,0.0308,0.0544,0.025,0.1283,0.0217
0,reflectance,8h,6,0.252,99.49,0.148,0.0544,0.0037,0.0124,0.0989,0.0062
0,reflectance,delta,1,80.65,80.65,0.4118,0.0395,0.0094,0.0754,0.3877,0.0761
0,reflectance,delta,2,7.915,88.57,0.5063,0.1701,0.0,0.0043,0.4051,0.0102
0,reflectance,delta,3,5.363,93.93,0.1642,0.0515,0.0003,0.045,0.1188,0.0264
0,reflectance,delta,4,3.115,97.04,0.2343,0.044,0.0031,0.0483,0.199,0.0323
0,reflectance,delta,5,1.201,98.24,0.075,0.0053,0.0005,0.0064,0.0701,0.0069
0,reflectance,delta,6,0.518,98.76,0.0847,0.0545,0.0067,0.0078,0.0319,0.012
0,transmittance,0h,1,84.958,84.96,0.1362,0.1147,0.0002,0.0344,0.0242,0.0364
0,transmittance,0h,2,11.079,96.04,0.126,0.0818,0.0681,0.0176,0.0481,0.0199
0,transmittance,0h,3,2.079,98.12,0.1734,0.0551,0.0222,0.0049,0.1252,0.0037
0,transmittance,0h,4,0.606,98.72,0.1573,0.1091,0.0396,0.0225,0.0541,0.0114
0,transmittance,0h,5,0.359,99.08,0.0948,0.034,0.0149,0.006,0.0629,0.0103
0,transmittance,0h,6,0.285,99.37,0.0608,0.028,0.0,0.0046,0.0338,0.0098
0,transmittance,8h,1,84.43,84.43,0.2184,0.1622,0.0237,0.1083,0.0671,0.0788
0,transmittance,8h,2,9.353,93.78,0.2303,0.0383,0.0805,0.0132,0.1997,0.0212
0,transmittance,8h,3,3.253,97.04,0.1991,0.081,0.0335,0.0875,0.1285,0.0523
0,transmittance,8h,4,1.64,98.68,0.3092,0.158,0.0025,0.0398,0.1796,0.0283
0,transmittance,8h,5,0.397,99.07,0.134,0.0465,0.0,0.006,0.0917,0.0021
0,transmittance,8h,6,0.285,99.36,0.1083,0.059,0.0,0.0167,0.0524,0.0076
0,transmittance,delta,1,84.12,84.12,0.3756,0.1385,0.0383,0.1087,0.2753,0.0872
0,transmittance,delta,2,8.271,92.39,0.3752,0.0998,0.0027,0.0225,0.3059,0.0138
0,transmittance,delta,3,3.166,95.56,0.3458,0.1012,0.0004,0.0143,0.2722,0.0162
0,transmittance,delta,4,1.406,96.96,0.2156,0.0536,0.0043,0.0137,0.1712,0.0176
0,transmittance,delta,5,1.224,98.19,0.2806,0.0282,0.0114,0.0055,0.2597,0.0034
0,transmittance,delta,6,0.571,98.76,0.266,0.0657,0.0048,0.0161,0.2144,0.0035
