deriv,mode,hours,erode_px,pc,evr_pct,cum_evr_pct,total_variance,between_kernel_pct,within_kernel_pct
0,reflectance,0.0,0,1,70.095,70.1,13.072,10.6,89.4
0,reflectance,0.0,0,2,13.986,84.08,13.072,6.92,93.08
0,reflectance,0.0,0,3,5.742,89.82,13.072,10.94,89.06
0,reflectance,0.0,0,4,4.105,93.93,13.072,4.25,95.75
0,reflectance,0.0,0,5,2.548,96.48,13.072,13.5,86.5
0,reflectance,0.0,0,6,1.42,97.9,13.072,17.24,82.76
0,reflectance,0.0,2,1,74.544,74.54,5.5308,21.66,78.34
0,reflectance,0.0,2,2,10.433,84.98,5.5308,16.37,83.63
0,reflectance,0.0,2,3,5.441,90.42,5.5308,17.68,82.32
0,reflectance,0.0,2,4,3.504,93.92,5.5308,17.73,82.27
0,reflectance,0.0,2,5,2.422,96.34,5.5308,7.72,92.28
0,reflectance,0.0,2,6,0.938,97.28,5.5308,23.02,76.98
0,reflectance,8.0,0,1,60.229,60.23,7.2445,33.24,66.76
0,reflectance,8.0,0,2,23.891,84.12,7.2445,29.32,70.68
0,reflectance,8.0,0,3,6.627,90.75,7.2445,9.49,90.51
0,reflectance,8.0,0,4,4.332,95.08,7.2445,10.46,89.54
0,reflectance,8.0,0,5,1.818,96.9,7.2445,19.27,80.73
0,reflectance,8.0,0,6,1.11,98.01,7.2445,16.48,83.52
0,reflectance,8.0,2,1,66.884,66.88,3.7764,53.29,46.71
0,reflectance,8.0,2,2,21.747,88.63,3.7764,24.58,75.42
0,reflectance,8.0,2,3,4.077,92.71,3.7764,21.96,78.04
0,reflectance,8.0,2,4,2.72,95.43,3.7764,23.83,76.17
0,reflectance,8.0,2,5,1.601,97.03,3.7764,17.53,82.47
0,reflectance,8.0,2,6,0.844,97.87,3.7764,16.84,83.16
0,transmittance,0.0,0,1,59.804,59.8,6.645,48.67,51.33
0,transmittance,0.0,0,2,24.417,84.22,6.645,17.93,82.07
0,transmittance,0.0,0,3,7.807,92.03,6.645,4.57,95.43
0,transmittance,0.0,0,4,2.409,94.44,6.645,13.9,86.1
0,transmittance,0.0,0,5,1.465,95.9,6.645,28.8,71.2
0,transmittance,0.0,0,6,1.111,97.01,6.645,14.88,85.12
0,transmittance,0.0,2,1,78.356,78.36,5.6855,64.46,35.54
0,transmittance,0.0,2,2,12.893,91.25,5.6855,37.33,62.67
0,transmittance,0.0,2,3,2.49,93.74,5.6855,29.66,70.34
0,transmittance,0.0,2,4,1.394,95.13,5.6855,22.5,77.5
0,transmittance,0.0,2,5,1.162,96.3,5.6855,28.87,71.13
0,transmittance,0.0,2,6,0.494,96.79,5.6855,33.34,66.66
0,transmittance,8.0,0,1,61.659,61.66,4.7989,51.54,48.46
0,transmittance,8.0,0,2,21.248,82.91,4.7989,13.14,86.86
0,transmittance,8.0,0,3,7.174,90.08,4.7989,6.88,93.12
0,transmittance,8.0,0,4,3.685,93.77,4.7989,52.39,47.61
0,transmittance,8.0,0,5,1.458,95.22,4.7989,10.07,89.93
0,transmittance,8.0,0,6,1.007,96.23,4.7989,30.88,69.12
0,transmittance,8.0,2,1,78.999,79.0,4.096,63.47,36.53
0,transmittance,8.0,2,2,9.569,88.57,4.096,27.53,72.47
0,transmittance,8.0,2,3,3.887,92.45,4.096,63.66,36.34
0,transmittance,8.0,2,4,2.104,94.56,4.096,24.16,75.84
0,transmittance,8.0,2,5,0.894,95.45,4.096,23.28,76.72
0,transmittance,8.0,2,6,0.725,96.18,4.096,36.37,63.63
1,reflectance,0.0,0,1,30.314,30.31,0.0371,5.19,94.81
1,reflectance,0.0,0,2,19.833,50.15,0.0371,12.9,87.1
1,reflectance,0.0,0,3,18.252,68.4,0.0371,15.82,84.18
1,reflectance,0.0,0,4,8.326,76.73,0.0371,21.53,78.47
1,reflectance,0.0,0,5,5.336,82.06,0.0371,11.66,88.34
1,reflectance,0.0,0,6,3.74,85.8,0.0371,20.2,79.8
1,reflectance,0.0,2,1,34.382,34.38,0.0208,13.64,86.36
1,reflectance,0.0,2,2,23.471,57.85,0.0208,23.13,76.87
1,reflectance,0.0,2,3,17.733,75.59,0.0208,25.91,74.09
1,reflectance,0.0,2,4,6.117,81.7,0.0208,29.36,70.64
1,reflectance,0.0,2,5,3.974,85.68,0.0208,13.2,86.8
1,reflectance,0.0,2,6,3.163,88.84,0.0208,12.73,87.27
1,reflectance,8.0,0,1,37.645,37.64,0.0229,57.71,42.29
1,reflectance,8.0,0,2,21.654,59.3,0.0229,7.6,92.4
1,reflectance,8.0,0,3,12.5,71.8,0.0229,23.06,76.94
1,reflectance,8.0,0,4,11.224,83.02,0.0229,16.75,83.25
1,reflectance,8.0,0,5,3.718,86.74,0.0229,6.38,93.62
1,reflectance,8.0,0,6,2.621,89.36,0.0229,18.08,81.92
1,reflectance,8.0,2,1,46.441,46.44,0.0149,62.43,37.57
1,reflectance,8.0,2,2,18.495,64.94,0.0149,20.21,79.79
1,reflectance,8.0,2,3,15.06,80.0,0.0149,25.62,74.38
1,reflectance,8.0,2,4,6.293,86.29,0.0149,22.03,77.97
1,reflectance,8.0,2,5,2.825,89.11,0.0149,22.82,77.18
1,reflectance,8.0,2,6,2.309,91.42,0.0149,14.99,85.01
1,transmittance,0.0,0,1,51.238,51.24,0.044,51.46,48.54
1,transmittance,0.0,0,2,25.996,77.23,0.044,14.77,85.23
1,transmittance,0.0,0,3,13.424,90.66,0.044,6.26,93.74
1,transmittance,0.0,0,4,1.786,92.44,0.044,18.29,81.71
1,transmittance,0.0,0,5,1.66,94.1,0.044,24.54,75.46
1,transmittance,0.0,0,6,0.928,95.03,0.044,17.08,82.92
1,transmittance,0.0,2,1,68.753,68.75,0.0341,69.87,30.13
1,transmittance,0.0,2,2,17.084,85.84,0.0341,28.29,71.71
1,transmittance,0.0,2,3,4.168,90.0,0.0341,15.57,84.43
1,transmittance,0.0,2,4,1.769,91.77,0.0341,25.01,74.99
1,transmittance,0.0,2,5,1.712,93.49,0.0341,27.9,72.1
1,transmittance,0.0,2,6,1.051,94.54,0.0341,22.42,77.58
1,transmittance,8.0,0,1,51.601,51.6,0.0328,56.51,43.49
1,transmittance,8.0,0,2,21.812,73.41,0.0328,10.58,89.42
1,transmittance,8.0,0,3,13.928,87.34,0.0328,8.98,91.02
1,transmittance,8.0,0,4,4.002,91.34,0.0328,54.72,45.28
1,transmittance,8.0,0,5,1.675,93.02,0.0328,24.09,75.91
1,transmittance,8.0,0,6,1.292,94.31,0.0328,20.04,79.96
1,transmittance,8.0,2,1,68.444,68.44,0.0255,67.33,32.67
1,transmittance,8.0,2,2,12.66,81.1,0.0255,22.61,77.39
1,transmittance,8.0,2,3,6.02,87.12,0.0255,47.75,52.25
1,transmittance,8.0,2,4,3.273,90.4,0.0255,28.71,71.29
1,transmittance,8.0,2,5,1.895,92.29,0.0255,30.25,69.75
1,transmittance,8.0,2,6,1.303,93.6,0.0255,14.83,85.17
